product_id,title,image,catalog_number,Check Stock
3388,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58F4TIALN,51
3390,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FL2,13
3386,"
                                
                                    
                                        Standard Performance
                                    
                                
                             3 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-primate-square-stack.png, CEM58F3TICN,0
3385,"
                                
                                    
                                        Standard Performance
                                    
                                
                             3 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-primate-square-stack.png, CEM58F3TIALN,0
3387,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58F4,45
3382,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58F2TIALN,6
3380,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4TICN,0
3379,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4TIALN,9
3378,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4,23
3377,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-ballnose.png, CEM58BXXL2TICN,0
